EXT1,EXT2,EXT3,EXT4,EXT5,EST1,EST2,EST3,EST4,EST5,AGR1,AGR2,AGR3,AGR4,AGR5,CSN1,CSN2,CSN3,CSN4,CSN5,OPN1,OPN2,OPN3,OPN4,OPN5,dateload,screenw,screenh,introelapse,testelapse,endelapse,IPC,country,lat_appx_lots_of_err,long_appx_lots_of_err
4.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,4.0,4.0,5.0,1.0,5.0,1.0,5.0,5.0,2.0,4.0,2.0,4.0,2017-05-27 01:22:41,1303.0,869.0,15.0,514.0,11,1,AE,24.0,54.0
3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2016-08-24 09:35:54,1366.0,768.0,79.0,22.0,17,1,AE,24.0,54.0
3.0,1.0,5.0,2.0,5.0,4.0,5.0,3.0,2.0,4.0,5.0,5.0,3.0,5.0,1.0,4.0,5.0,4.0,4.0,2.0,5.0,1.0,5.0,1.0,4.0,2018-09-08 05:49:28,360.0,747.0,10.0,124.0,10,1,AE,24.0,54.0
2.0,5.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,4.0,1.0,5.0,1.0,3.0,4.0,5.0,1.0,5.0,2.0,3.0,5.0,2.0,5.0,2017-04-23 06:11:10,1366.0,768.0,363.0,580.0,19,1,AE,25.2582,55.3047
2.0,4.0,1.0,5.0,3.0,5.0,1.0,5.0,1.0,4.0,1.0,3.0,3.0,5.0,3.0,5.0,1.0,5.0,1.0,4.0,5.0,1.0,5.0,1.0,5.0,2018-05-25 11:27:03,1440.0,900.0,849.0,1331.0,15,1,AE,25.2582,55.3047
2.0,2.0,3.0,3.0,2.0,2.0,4.0,4.0,3.0,1.0,3.0,4.0,1.0,5.0,2.0,3.0,2.0,5.0,2.0,4.0,2.0,4.0,3.0,3.0,4.0,2016-04-10 12:19:16,1280.0,800.0,264.0,1196.0,52,1,AE,25.2582,55.3047
5.0,2.0,4.0,1.0,5.0,3.0,2.0,5.0,3.0,1.0,5.0,5.0,5.0,5.0,1.0,4.0,4.0,3.0,1.0,4.0,5.0,1.0,4.0,5.0,4.0,2018-04-21 00:15:00,412.0,732.0,9.0,984.0,22,1,AE,24.0,54.0
4.0,1.0,5.0,2.0,5.0,5.0,3.0,4.0,1.0,2.0,1.0,5.0,1.0,3.0,4.0,2.0,2.0,1.0,0.0,2.0,4.0,1.0,5.0,1.0,5.0,2016-07-18 23:13:41,1366.0,768.0,7.0,392.0,16,1,AE,24.0,54.0
3.0,1.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,1.0,5.0,2.0,5.0,5.0,4.0,1.0,5.0,5.0,2.0,2.0,0.0,5.0,1.0,4.0,2018-10-13 13:49:08,1280.0,800.0,8.0,246.0,32,1,AE,24.0,54.0
3.0,2.0,5.0,3.0,5.0,1.0,5.0,1.0,1.0,2.0,4.0,1.0,5.0,4.0,3.0,2.0,1.0,4.0,4.0,2.0,5.0,2.0,3.0,5.0,5.0,2017-06-11 11:01:40,320.0,568.0,9.0,233.0,10,1,AE,24.0,54.0
4.0,2.0,4.0,3.0,4.0,5.0,1.0,2.0,4.0,4.0,5.0,2.0,4.0,2.0,4.0,3.0,5.0,4.0,4.0,2.0,5.0,2.0,4.0,1.0,4.0,2016-04-21 02:57:58,1440.0,900.0,13.0,212.0,15,1,AE,24.0,54.0
1.0,5.0,1.0,5.0,1.0,5.0,3.0,5.0,3.0,3.0,1.0,3.0,1.0,4.0,2.0,4.0,1.0,5.0,2.0,3.0,4.0,1.0,4.0,2.0,4.0,2017-09-24 13:49:35,414.0,736.0,4.0,303.0,9,1,AE,24.0,54.0
2.0,3.0,2.0,4.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,2016-06-01 15:08:42,1920.0,1200.0,10.0,292.0,14,1,AE,24.4667,54.3667
1.0,3.0,3.0,4.0,4.0,1.0,5.0,2.0,4.0,1.0,3.0,3.0,1.0,4.0,3.0,3.0,1.0,4.0,1.0,3.0,4.0,4.0,3.0,3.0,3.0,2018-03-25 11:21:14,1366.0,768.0,3.0,291.0,18,1,AE,24.0,54.0
1.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,3.0,5.0,5.0,1.0,1.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,2017-03-04 21:24:32,414.0,736.0,8.0,180.0,5,1,AE,24.0,54.0
3.0,3.0,4.0,5.0,3.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,1.0,5.0,2.0,5.0,3.0,4.0,3.0,1.0,4.0,3.0,5.0,2.0,3.0,2017-05-10 02:14:52,1366.0,768.0,2.0,240.0,10,1,AE,25.2582,55.3047
2.0,4.0,3.0,5.0,2.0,4.0,3.0,5.0,1.0,5.0,1.0,5.0,2.0,4.0,1.0,2.0,4.0,3.0,5.0,1.0,2.0,4.0,5.0,3.0,4.0,2018-09-29 05:24:39,320.0,570.0,23.0,2178.0,20,1,AE,24.0,54.0
4.0,1.0,4.0,2.0,4.0,4.0,3.0,4.0,2.0,2.0,1.0,5.0,2.0,5.0,1.0,1.0,5.0,3.0,5.0,1.0,3.0,5.0,5.0,1.0,4.0,2018-10-14 13:13:43,1600.0,900.0,12.0,580.0,12,1,AE,25.3573,55.4033
1.0,4.0,3.0,5.0,1.0,3.0,4.0,5.0,5.0,4.0,1.0,3.0,2.0,5.0,1.0,3.0,4.0,4.0,1.0,3.0,2.0,5.0,5.0,5.0,3.0,2018-07-14 19:12:45,1366.0,768.0,7.0,225.0,13,1,AE,24.1917,55.7606
3.0,1.0,3.0,2.0,5.0,4.0,3.0,5.0,2.0,3.0,1.0,5.0,2.0,4.0,1.0,5.0,4.0,4.0,2.0,3.0,5.0,2.0,4.0,2.0,3.0,2018-03-01 00:43:25,1280.0,800.0,23.0,335.0,3,1,AE,25.2582,55.3047
5.0,1.0,5.0,1.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,1.0,5.0,2.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,2017-12-05 13:52:50,360.0,640.0,8.0,202.0,11,1,AE,25.3573,55.4033
3.0,5.0,5.0,1.0,5.0,1.0,3.0,4.0,5.0,5.0,1.0,3.0,1.0,5.0,3.0,5.0,1.0,5.0,1.0,5.0,5.0,2.0,5.0,1.0,1.0,2017-08-12 04:29:02,1536.0,864.0,2.0,225.0,15,1,AE,24.0,54.0
2.0,4.0,2.0,5.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,2.0,4.0,2.0,4.0,4.0,4.0,2018-09-03 21:18:17,1920.0,1080.0,11.0,177.0,11,1,AE,24.4667,54.3667
3.0,1.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,2.0,2.0,5.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2018-09-29 11:46:06,375.0,667.0,18.0,509.0,7,1,AE,25.2582,55.3047
5.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,5.0,4.0,5.0,3.0,2.0,5.0,3.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,2018-08-28 23:48:43,1366.0,768.0,6.0,162.0,9,1,AE,24.0,54.0
1.0,1.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,1.0,3.0,5.0,4.0,5.0,1.0,4.0,5.0,5.0,4.0,1.0,5.0,1.0,5.0,1.0,5.0,2016-04-08 04:22:53,1920.0,1080.0,5.0,326.0,10,1,AE,24.4667,54.3667
3.0,3.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,5.0,2.0,4.0,4.0,3.0,4.0,4.0,1.0,5.0,4.0,1.0,4.0,1.0,5.0,4.0,5.0,2018-06-13 03:05:29,1536.0,864.0,28.0,181.0,2215,1,AE,24.0,54.0
1.0,4.0,2.0,4.0,2.0,5.0,2.0,5.0,2.0,4.0,3.0,3.0,2.0,4.0,2.0,3.0,1.0,5.0,3.0,3.0,5.0,3.0,5.0,3.0,4.0,2018-02-17 22:27:05,1280.0,800.0,22.0,97.0,9,1,AE,24.0,54.0
1.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,1.0,4.0,1.0,4.0,3.0,5.0,4.0,4.0,1.0,5.0,4.0,2.0,5.0,1.0,5.0,1.0,3.0,2018-04-22 08:52:38,1366.0,768.0,4.0,138.0,13,1,AE,25.2582,55.3047
3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,5.0,1.0,3.0,4.0,4.0,5.0,4.0,4.0,2016-04-18 06:13:00,1366.0,768.0,210.0,379.0,19,1,AE,24.0,54.0
2.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,2017-11-05 08:32:15,1366.0,768.0,6.0,70.0,25,1,AE,25.2582,55.3047
1.0,2.0,2.0,4.0,1.0,2.0,4.0,3.0,2.0,1.0,2.0,4.0,2.0,4.0,1.0,4.0,2.0,4.0,1.0,4.0,4.0,1.0,5.0,1.0,4.0,2017-04-11 08:50:27,1280.0,720.0,112.0,1087.0,18,1,AE,24.4667,54.3667
2.0,2.0,4.0,3.0,3.0,4.0,2.0,5.0,2.0,4.0,2.0,4.0,1.0,4.0,2.0,3.0,3.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,3.0,2018-08-05 11:16:21,360.0,640.0,10.0,71615.0,23,1,AE,25.2582,55.3047
1.0,5.0,1.0,3.0,2.0,5.0,3.0,5.0,2.0,4.0,1.0,5.0,1.0,5.0,3.0,3.0,1.0,5.0,1.0,4.0,4.0,1.0,5.0,1.0,5.0,2018-10-06 10:26:29,320.0,568.0,15.0,261.0,11,1,AE,24.0,54.0
