Extroversion ; EXT1;I am the life of the party;Are you the life of the party?
Extroversion ; EXT2;I don't talk a lot;Do you often find yourself not talking a lot?
Extroversion ; EXT3;I feel comfortable around people;Do you feel comfortable around people?
Extroversion ; EXT4;I keep in the background;Do you prefer to keep in the background?
Extroversion ; EXT5;I start conversations;Do you often start conversations?
Extroversion ; EXT6;I have little to say;Do you sometimes feel you have little to say?
Extroversion ; EXT7;I talk to a lot of different people at parties;Do you engage with many people at parties?
Extroversion ; EXT8;I don't like to draw attention to myself;Do you dislike drawing attention to yourself?
Extroversion ; EXT9;I don't mind being the center of attention;Are you okay with being the center of attention?
Extroversion ; EXT10;I am quiet around strangers;Are you usually quiet around strangers?
Emotional Stability; EST1;I get stressed out easily;Do you find that you get stressed out easily?
Emotional Stability; EST2;I am relaxed most of the time;Do you feel relaxed most of the time?
Emotional Stability; EST3;I worry about things;Do you tend to worry about things?
Emotional Stability; EST4; I seldom feel blue;Do you seldom feel blue?
Emotional Stability; EST5; I am easily disturbed;Are you easily disturbed by things?
Emotional Stability; EST6; I get upset easily;Do you find that you get upset easily?
Emotional Stability; EST7; I change my mood a lot;Do you notice that your mood changes frequently?
Emotional Stability; EST8; I have frequent mood swings;Do you experience frequent mood swings?
Emotional Stability; EST9; I get irritated easily;Are you someone who gets irritated easily?
Emotional Stability; EST10;I often feel blue;Do you often feel blue?
Agreebleness; AGR1; I feel little concern for others;Do you feel little concern for others?
Agreebleness; AGR2; I am interested in people;Are you generally interested in people?
Agreebleness; AGR3; I insult people;Do you ever insult others?
Agreebleness; AGR4; I sympathize with others' feelings;Do you sympathize with the feelings of others?
Agreebleness; AGR5; I am not interested in other people's problems;Are you uninterested in others' problems?
Agreebleness; AGR6; I have a soft heart;Do you consider yourself to have a soft heart?
Agreebleness; AGR7; I am not really interested in others;Are you truly not interested in others?
Agreebleness; AGR8; I take time out for others;Do you take time out for others?
Agreebleness; AGR9; I feel others' emotions;Do you often feel the emotions of others?
Agreebleness; AGR10;I make people feel at ease;Do you have a talent for making others feel at ease?
Conscientiousness; CSN1; I am always prepared;Are you typically always prepared?
Conscientiousness; CSN2; I leave my belongings around;Do you tend to leave your belongings around?
Conscientiousness; CSN3; I pay attention to details;Do you pay attention to details?
Conscientiousness; CSN4; I make a mess of things;Do you often make a mess of things?
Conscientiousness; CSN5; I get chores done right away;Do you usually get your chores done right away?
Conscientiousness; CSN6; I often forget to put things back in their proper place;Do you frequently forget to return things to their proper places?
Conscientiousness; CSN7; I like order;Do you prefer order in your surroundings?
Conscientiousness; CSN8; I shirk my duties;Do you sometimes shirk your duties?
Conscientiousness; CSN9; I follow a schedule;Do you typically follow a schedule?
Conscientiousness; CSN10; I am exacting in my work;Are you exacting in your work?
Intelect/Imagination; OPN1; I have a rich vocabulary;Do you consider your vocabulary to be rich?
Intelect/Imagination; OPN2; I have difficulty understanding abstract ideas;Do you find it hard to understand abstract ideas?
Intelect/Imagination; OPN3; I have a vivid imagination;Do you think you have a vivid imagination?
Intelect/Imagination; OPN4; I am not interested in abstract ideas;Are you uninterested in abstract concepts?
Intelect/Imagination; OPN5; I have excellent ideas;Do you often come up with excellent ideas?
Intelect/Imagination; OPN6; I do not have a good imagination;Do you believe you lack a good imagination?
Intelect/Imagination; OPN7; I am quick to understand things;Are you usually quick to understand new things?
Intelect/Imagination; OPN8; I use difficult words;Do you tend to use difficult words when you speak?
Intelect/Imagination; OPN9; I spend time reflecting on things;Do you often take time to reflect on things?
Intelect/Imagination; OPN10;I am full of ideas.;Are you full of ideas?
